學院,科系,招生,年級限制,成績要求,繳交資料,先修課程,測驗,面試,備註,一般生可轉入名額,橋生可轉入名額,心得
,全校不分系學士學位學程,,,,須提供自傳、轉系動機、讀書計畫、成績單、5分鐘自我介紹(請將檔案上傳至雲端並提供QRcode於申請資料中以供檢視)及其他有利審查之資料。,,,若有需要進行面試將於書審後逕行通知。,,10,0,比起成績更看重你轉系的「動機」，在備審資料中建議要放：你為了轉系做了哪些努力（個人經歷）以及你未來在不分系想做些什麼（未來專題）。轉系資料：歷年成績單、自傳、轉系動機、讀書計畫、其他資料，還有今年新增的「五分鐘自我介紹的影片」
文學院,中國文學系學士班,,,,須提供有利審查之資料。,,,,,11,1,
文學院,外國語文學系學士班,,,1. 班排名前50%。2. 模組二英文成績90分以上；模組三英文成績85分以上；或通 過GEPT全民英檢中高級複試(或其他相同等級)以上之英語能力測驗者。,登記參加轉系資格測驗時需繳交成績單等相關申請文件。,應先修以下B2外文系課程至少一門，且成績及格通過：「語言學概論」、「西洋文學概論」、「文學作品導讀」。,參加並通過外文系轉系1.測驗內容：「英文」(閱讀及作文)佔50%，「英文會話」50%。2.預定測驗公告：每年四月下旬。3.預定測驗報名日期：每年五月上旬。4.預定測驗日期：每年五月下旬。5.所有有意申請轉入本系學生(含僑生及國際生)皆應登記參加轉系資格測驗。,,,11,1,不特別看重在校成績，轉系考考好即可，一共有考（聽、說、讀、寫）
文學院,歷史學系學士班,,,,須提供自傳、轉系動機、讀書計畫、成績單及歷史課程相關報告等有利審查之資料。,,,,,11,2,
文學院,台灣文學系學士班,,,,審查資料含成績單、轉系動機說明（至少500字）及其他有利審查資料。,,,,,11,1,
理學院,數學系學士班,,,,須提供有利審查之資料(含轉系動機說明、自傳、讀書計畫、在校成績等)。,,,,,11,1,
理學院,物理學系學士班,,,,,須修畢普通物理（一）（二）、微積分（一）（二）。,,,,9,1,大一普物（上、下顧好），建議先選修物理數學（ㄧ），因為大二上會有物理數學（二）之課程
理學院,化學系學士班,,,,,須修畢普通化學、普通物理及微積分三科中至少二科成績及格。,,,,11,1,只要大一普物普化修好，基本上蠻容易過的，建議先選化學數學課程以跟上進度。
理學院,地球科學系學士班,,,,,須修畢普通化學、普通物理及微積分三科中至少二科成績及格。,,,,11,1,
理學院,光電科學與工程學系 學士班,,,,須經本系書面資料審查（含自傳、讀書計畫、在校成績及其他有利審查之資料）通過。若有需要進行面試將逕行通知。,,,,,10,1,
工學院,機械工程學系學士班,,,本地生：前一學年或累計總平均75分(含)以上，普通物理上下學期及微積分上下學期成績均達75(含)以上。僑生：前一學年或累計總平均70分(含)以上，普通物理上下學期及微積分上下學期成績均達70分(含)以上。,審查以書面為原則，若有需要時會另外通知面試。,,,,,33,3,
工學院,化學工程學系學士班,,,本地生：學年學業總平均75分以上。僑生：學年學業總平均65分以上。,,1.微積分(一)(二)各3學分且該科每學期均需及格及學年平均成績75分以上。2.普通物理學(一)(二)各3學分或普通化學(一)(二)各3學分二科中至少一科，且該科每學期均需及格及學年平均成績75分以上。,,,,27,1,注重學期成績平均，大一普物以及微積分要顧好！沒有要求備審資料但可以自行繳交有利資料。
工學院,資源工程學系學士班,,,,須提出自傳和讀書計畫。,,,,,11,1,
工學院,材料科學及工程學系學士班,,,累計學年總平均78分以上。,,普通物理（一）（二）各3學分，該科每學期均須及格且學年平均成績75分以上或普通化學（一）（二）各3學分，該科每學期均須及格且學年平均成績75分以上。,,,,18,2,就是注重學期成績。建議先選材料科學導論及材料力學避免未來撞課。
工學院,土木工程學系學士班,,,,須提供自傳、在校成績、讀書計畫及其他有利審查之資料。,,,若有需要進行面試時將逕行通知。,,22,2,
工學院,水利及海洋工程學系學士班,,,,須提供自傳、在校成績、讀書計畫及其他有利審查之資料。,,,,,11,1,
工學院,工程科學系學士班,,,累計學業總平均須達70分以上者。,須提供有利審查之資料(如讀書計畫、轉系動機及成績單等)。,至少須修過1學期之微積分或物理並且及格。,,,,11,1,蠻好轉的系，往年70出頭就可以過了，微積分與普物建議都修滿兩學期！
工學院,能源工程國際學士學位學程學士班,,,1. 前一學年或累計學業總平均達75分以上。2. 英語能力測驗須達大一英文抵免門檻標準，或大一英文學年平均成績為模組二達75分以上、模組一達80分以上者。,,普通物理或微積分每學期成績75分以上。,,,轉入後抵免課程需為英語授課。,4,0,
工學院,系統及船舶機電工程學系學士班,,,累計學業成績總平均70分以上。,,,,,,11,1,
工學院,航空太空工程學系學士班,,,前一學年或累計學業總平均達75分以上。,,普通物理或微積分每學期成績75分以上。,,,,11,1,蠻好轉的，但平均不要低於80，重點是普物與微積分
工學院,環境工程學系學士班,,,,審查資料含自傳、在校成績、讀書計畫及其他有利審查資料。,,,,,11,1,
工學院,測量及空間資訊學系學士班,,,,須提供自傳、在校成績、讀書計畫及其他有利審查之資料。,,,,,11,1,
工學院,生物醫學工程學系學士班,,,前一學年學業總平均達75分（含）以上。,需繳交讀書計畫(最多2頁)及其他有利審查之資料。,,,,,7,1,看重讀書計畫以及其他有利資料，所以可以去修醫工系的課，除了給教授好印象，幸運的話也可以請教授幫忙寫推薦信。
管理學院,會計學系學士班,,,修滿3學分微積分(一)者：上學年學業總成績須名列該班前1/2。未修滿3學分微積分(一)者：上學年學業總成績須名列該班前1/10。,繳交自傳、讀書計畫及其它有利審查之資料。,,,經本系審查小組書面審查通過(或面談)。,,11,1,注重學期成績、微積分成績與備審資料，如果原系有會計學的話可能與會計系上的難度有落差，建議要再好好修讀會計學以免跟不上。
管理學院,統計學系學士班,,,前一學年總平均70分以上。,須提供有利審查之資料（含自傳、讀書計畫、轉系動機及成績單等）。,微積分修滿6學分且成績達70分以上。,,,針對平轉，未修習微積分者，大一學業總成績須名列該班前1/5。,11,1,注重學期成績、微積分成績與備審資料。
管理學院,工業與資訊管理學系學士班,,,累積學業總平均70分以上。,須提供自傳、讀書計畫書、正式成績單、每學期成績排名資訊，及其他有利審查之資料。,微積分修滿六學分，每學期均須及格且平均成績達65分以上。,,,,11,2,看重學期成績，特別是微積分，如果是工學理學院等，學期平均80出就有機會過，但文學或社科院平均建議超過86，備審資料也要用心準備。可以的話建議先選工資系的計概與計算機程式以免未來許多課擋修甚至衝堂。
管理學院,企業管理學系學士班,,平轉只限定一年級轉二年級。降轉僅接受二年級升三年級，轉入本系二年級者。,累計學業總成績75分以上；且累計學業總成績須排名達原班前1/5者。,須提供自傳、讀書計畫、正式成績單及其他有利審查之資料。,,,,,11,1,
管理學院,交通管理科學系學士班,,,累計學業總平均70分以上，平均成績名次須名列該班前1/2。,須提供自傳(含個人簡歷、對交通管理之認識、曾參與之研究計畫、獎勵、生活紀要、社團活動等)、讀書計劃、語言能力檢定證明、推薦函等有利審查之資料,修習微積分六學分且成績及格者。,,,,11,1,學期成績與微積分顧好，備審資料要多提對於交管方面的認知與熱忱，讓教授了解你想轉的動機！建議先修「運輸學」，可以讓你對交通管理方面有更深的認識。
醫學院,護理學系學士班,,,前一學年平均成績名次列該班前1/2者。一年級英文成績達80分以上。,自傳及讀書計畫。,,,需經本系書面資料審查，面談通過。,,8,1,
醫學院,醫學檢驗生物技術學系學士班,,平轉只限定一年級轉二年級。降轉僅接受二年級升三年級，轉入本系二年級者。,1. 學業成績累計平均80分以上。2. 共同科目之英文成績須達75分以上或英文達本校免修或抵免之標準。,需提供自傳、在學成績單、轉系動機及讀書計畫。,,,如有需要進行面試，將逕行通知。,,8,1,
醫學院,醫學系學士班,不招收轉系生。,,,,,,,,0,0,
醫學院,物理治療學系學士班,,,學業成績每學期皆平均80分以上或累積班排名前20%以內。,繳交自傳及讀書計畫(含各學年修課規劃表)。,,,經本系審查小組書面審查及面談通過。,,7,1,
醫學院,職能治療學系學士班,,,1. 本校修業期間學期總平均80分以上且班排名前30%。2. 共同科目之英文成績須達80分以上或英文達本校免修或抵免之標準。,須提供審查資料（含自傳及讀書計畫、與職能治療接觸之相關經驗）,非醫學院之學生，需附修習四類科中(生物、物理、化學、微積分)任一科2學分（或2學分以上）及格之成績單。,,,1. 需經本系書面資料審查、面談通過。2. 申請轉系之學生轉入後，應遵守本系之修業學分規定(含實習申請規定)，必須有延畢之心理準備，不應要求本系調整課程。,6,1,普生與微積分要修好！英文要求是平均70以上，因為蠻多人申請的，所以被審資料方面要更認真準備！針對動機的部分建議可以反覆思考為什麼想來，確立目標並且堅定不移，而對於增進科系的了解程度，我的建議當然就是想辦法修他們的課啦!尤其是職治導論(一上)或是職治理論(一下)，會對這個專業的脈絡和核心精神有很深刻的理解。
醫學院,藥學系學士班,,,累計學業總成績平均83分以上。,繳交自傳及讀書計畫,1. 須至少先修畢普通化學2學分、微積分（一）、（二）共4學分及普通生物學（一）、（二）共4學分，且成績均在83分以上。2. 修畢英文課程4學分（含抵免），須修習模組二以上的英文且成績平均須達83分以上。或英文達本校免修之標準。,,,若有需要進行面試將於書審後逕行通知。,4,1,
醫學院,牙醫學系學士班,不招收轉系生。,,,,,,,,0,0,
社會科學院,法律學系學士班,,平轉僅接受原系級一年級升二年級。降轉僅接受二年級升三年級之學生申請轉入本系二年級者。,1. 須截至前學期排名達原班前30%（應有註冊單位或系主任證明）。2. 共同科目之國文、英文成績平均須達七十分以上或達本校免修或抵免之標準者。,須經本系審查通過並檢附曾修習法律課程之成績單等有利於審查之資料，無則免附。轉系生提出轉入本系申請時，應一併提出原就讀學系之成績單。,,,,,12,1,基本上只看學期成績，建議先選修民馬總則與憲法來避免未來被擋修許多課。
社會科學院,政治學系學士班,,,,,,,,,12,1,學期成績與備審資料都要做好！建議先選修政概（ㄧ）、（二）以免未來擋修或衝堂
社會科學院,經濟學系學士班,,,前一學年平均成績名次列該班前1/3者。,含自傳、讀書計劃及在校成績。,,,需經本系書面資料審查、面談通過。,,12,1,蠻好轉的系，轉系條件達到，學期成績顧好基本上沒問題！面試不會太難。
社會科學院,心理學系學士班,,,1. 前一學期學業平均成績名次列該班的前二分之一者（應有註冊單位或系主任證明）。2. 一學期之英文成績須達七十分以上，或達本校免修之標準。,須提供歷年成績單、申請理由書（格式不限）,一學期之微積分或本系開設之心理學概論成績達六十分以上。,,,轉系通過後應於註冊組公告期限內提出課程抵免申請。,11,1,修過心理學概論or微積分 + 英語70以上 + 平均86以上即穩妥，剩下的時間可以趕緊先修心理系上課程，因為心理系擋修頗多，尤其心概、心統幾乎是必備選課條件。
電機資訊學院,電機工程學系學士班,,,本地生：前一學年或累計總平均83分（含）以上，或為全班前2名。僑生：前一學年或累計總平均78分（含）以上。,,本地生：微積分(一)(二)各3學分及普通物理學(一)(二)各3學分，且物理及微積分每學期均需80分（含）以上。僑生：普通物理學(一)(二)各3學分及微積分(一)(二)各3學分平均成績70分（含）以上，且每學期均需及格。,,,,30,2,基本上就是看重成績，只要普物與微積分平均90以上，全班前三名基本上就穩了，建議先修計概上下避免撞課或擋修的狀況！
電機資訊學院,資訊工程學系學士班,,,平轉：本地生：總平均78分以上。僑生：總平均70分以上。,提供轉系動機說明、修習過的程式相關課程及該課程大綱、和其他有利審查資料。,,,,,22,2,學期成績顧好就沒什麼問題，備審資料放一些程式相關經驗會加分！（成績重要度還是大過備審）
規劃與設計學院,建築學系學士班,,只招收轉到大二的學生，但其他特殊因素經本系課程委員會通過者亦得提出申請。,複審階段具備申請前歷年學業成績加權平均70分以上者。,,大一不分系學士學程在大二分發前須修建築設計(一)、建築設計(二)、建築圖學等3科課程，各科成績均須達70分以上(含)。依據建築設計(一)(二)的平均分數從高依序分發並以5名為上限(同分參照順序:1.歷年學業成績加權平均分數、2.建築圖學分數)。,初審階段須參加建築系性向測驗合格且通過面試審查者。(初審通過以及初審遞補名單公告在建築系網頁),,1. 建築系轉系申請預定於5月上旬受理，性向測驗則預定在每年6月中下旬辦理，性向測驗通過者才通知面試。2. 初複審均通過者才得向註冊組提出轉系申請，但初審遞補名單將俟缺額才遞補，最後錄取名單統一由註冊組公告。,11,1,
規劃與設計學院,都巿計劃學系學士班,,,,須提供自傳、轉系動機、讀書計畫、在校成績及其他有利審查之資料。,,,若有需要進行面試，將於書面資料審查後逕行通知。,,11,1,
規劃與設計學院,工業設計學系學士班,,,累計學業成績總平均75分以上。,,曾修物理一學期及微積分一學期成績及格者。（如轉系成功，將依本系學分抵免規定，辦理物理及微積分抵免。,性向檢定（含素描及空間概念）合格。（受理報名預定每年四月下旬，測驗日期預定五月中旬）。,,,9,1,
生物科學與科技學院,生命科學系學士班,,,,含自傳、讀書計畫、在校成績及其他有利審查之資料。,,,,,11,1,
生物科學與科技學院,生物科技與產業科學系學士班,,,國文、英文成績需達65分或GPA2.0。,含自傳、讀書計畫、在校成績、2封推薦信、轉系之書面理由及轉系申請資料表及其他有利審查之資料。,,,,由本系審查小組書面審核通過後予以面試。,7,1,