學院,科系,招收,年級限制,成績要求,繳交資料,先修課程,測驗,備註,聯絡電話,課程備註,課程名稱
文學院,中國文學系學士班,,,班排名前10%。,,,,,,須修畢 必修 56 學分,"c(""國學導讀(一)"", ""國學導讀(二)"", ""文學概論(一)"", ""文學概論(二)"", ""現代戲劇欣賞及習作(一)"", ""現代戲劇欣賞及習作(二)"", ""文字學(一)"", ""文字學(二)"", ""歷代文選及習作(一)"", ""歷代文選及習作(二)"", ""詩選及習作(一)"", ""詩選及習作(二)"", ""中國文學史(一)"", ""中國文學史(二)"", ""詞選及習作(一)"", ""詞選及習作(二)"", ""曲選及習作"", ""聲韻學(一)"", ""聲韻學(二)"", ""現代小說欣賞及習作(一)"", ""現代小說欣賞及習作(二)"", ""中國思想史(一)"", ""中國思想史(二)"")"
文學院,外國語文學系學士班,,,1. 班排名前15% 。2. 模組二英文課成績85分以上；模組三英文課成績80分以上；沒有修課紀錄者應提供英語能力證明(如英檢測驗)。,1. 申請表(請至註冊組網頁「申請表單」處下載)，須明確標示申請輔系或雙主修，並留下聯絡電話及EMAIL。2. 正式成績單(須包含申請日之前各學期完整成績)，並註記英文課模組。3. 班排名證明文件。,申請者應先修以下B2課程至少一門，且成績及格通過：「語言學概論」、「西洋文學概論」、「文學作品導讀」。,,,,"c(""須修畢必修 52 學分，選修至少 18 學分。"", ""文學課程，任選三科，至少 9 學分，部分課程列於下表，為標記 * 者，依當學期課程安排而定。"", ""語言學及教學類課程，任選三科，至少 9 學分，部分課程列於下表，為標記 ** 者，依當學期課程安排而定。"", ""英語口語訓練、英文作文課程有擋修設定(同ㄧ學期不得同時修習課程名稱相同的科目)，上下學期不得任意換組"", ""第二外語為日、法、德、西、俄五選一"", ""雙主修學生畢業前應達到外文系英文畢業門檻，並於預定畢業學期認證學分時一併提出英檢相關證明文件，始符合本系雙主修資格。"", ""若修習本系舊制課程，須經由本系認可確認課程及學分數始得計為雙主修畢業學分。"")","c(""西洋文學概論"", ""文學作品導讀"", ""語言學概論(一)"", ""語言學概論(二)"", ""英語口語訓練(一)"", ""英語口語訓練(二)"", ""英語口語訓練(三)"", ""英語口語訓練(四)"", ""英文作文(一)"", ""英文作文(二)"", ""英文作文(三)"", ""英文作文(四)"", ""第二外語【B2三年必修】(一)(二)(三)(四)(五)(六)"", ""英國文學（一）*"", ""英國文學（二）*"", ""英國文學（三）*"", ""英國文學（四）*"", ""美國文學（一）*"", ""美國文學（二）*"", ""文學批評（一）*"", ""文學批評（二）*"", ""奴隸敘事*"", ""當代英美小說*"", ""說故事與語言教學**"", ""社會語言學導讀：宏觀篇**"", ""語音學**"", ""心理語言學**"", ""兒童語言**"", ""構詞學**"")"
文學院,歷史學系學士班,,,,,,,,,"c(""須修畢必修 27 學分，選修至少 27 學分。"", ""史學專題講座課程：必須聽滿本系舉辦並註明「史學專題講座」之演講10次"", ""選修：限修本系專業課程(學年課程必須上、下學期皆修)"",""世界文化史為四選二，但為學年課程（修（一）必修（二）），每堂隔年開"")","c(""中國通史(一)"", ""中國通史(二)"", ""世界文化史(一)"", ""世界文化史(二)"",""世界文化史(三)"", ""世界文化史(四)"", ""台灣史(一)"", ""台灣史(二)"", ""史學理論與方法(一)"", ""史學理論與方法(二)"", ""史學名著導讀"", ""史學專題講座"")"
文學院,台灣文學系學士班,,,,須提供成績單。,,,,06-2757575-52600,"c(""須修畢必修 38 學分，選修 6 學分。"", ""台灣語言基礎及寫作：台語、客語、原住名語三選二"", ""選修：台文系開設課程任選"")","c(""台灣語言基礎及寫作（台語）(一)"", ""台灣語言基礎及寫作（台語）(二)"",""台灣語言基礎及寫作（原住民語）(一)"", ""台灣語言基礎及寫作（原住民語）(二)"",""台灣語言基礎及寫作（客語）(一)"", ""台灣語言基礎及寫作（客語）(二)"", ""台灣歷史與文化"", ""文化與社會基本議題"", ""文學文本解讀"", ""語言學概論（一）"", ""語言學概論（二）"", ""台灣文學史（一）"", ""台灣文學史（二）"", ""台灣文學史（三）"", ""文學理論與批評（一）"", ""文學理論與批評（二）"", ""文化研究"")"
理學院,數學系學士班,,,前一學年學業總成績平均達75分以上。,,,,,分機65105,"c(""須修畢 必修 38 學分，選修 9 學分"", ""必修課程若在主修學系修過者，須選讀本系(所)開授課程補足規定學分數"", ""選修課程由本系(所)開授課程任選三科9學分。"")","c(""微積分(一)"", ""微積分(二)"", ""普通物理學(一)"", ""普通物理學(二)"", ""線性代數(一)"", ""線性代數(二)"", ""數學導論"", ""高等微積分(一)"", ""高等微積分(二)"", ""代數學(一)"", ""微分方程導論"", ""機率導論"")"
理學院,物理學系學士班,,,,,,,,分機65257,"c(""須修畢必修 38 學分，選修 2 學分。"", ""選修建議課程:物理數學(三)、物理數學(四)、統計力學導論、近代光學、其他事先經物理系同意之課程"", ""課程若與學生原科系必修科目之教授內容相近，請準備該課程大綱，經物理系審查 同意後，可選修建議課程補足學分"")","c(""物理數學(一)"", ""物理數學(二)"", ""電磁學(一)"", ""電磁學(二)"", ""力學(一)"", ""力學(二)"", ""量子物理(一)"", ""量子物理(二)"", ""光學"", ""熱力學"", ""物理實驗(一)"", ""物理實驗(二)"", ""物理實驗(三)"", ""物理實驗(四)"")"
理學院,化學系學士班,,,,,,,,分機65307,"c(""須修畢 必修 60 學分"", ""若有必修課程在主修學系修過者，而未 達 40 學分者，須再選修本系開授課程補足校方規定學分"")","c(""化學數學"", ""普通化學(一)"", ""普通化學(二)"", ""普通化學實驗(一)"", ""普通化學實驗(二)"", ""普通物理學(一)"", ""普通物理學(二)"", ""普通物理學實驗(一)"", ""普通物理學實驗(二)"", ""微積分(一)"", ""微積分(二)"", ""有機化學(一)"", ""有機化學(二)"", ""有機化學實驗(一)"", ""有機化學實驗(二)"", ""物理化學(一)"", ""物理化學(二)"", ""分析化學(一)"", ""分析化學(二)"", ""分析化學實驗(一)"", ""化學文獻"", ""物理化學實驗(一)"", ""物理化學實驗(二)"", ""無機化學(一)"", ""無機化學(二)"", ""分析化學實驗(二)"", ""書報討論(一)"", ""書報討論(二)"")"
理學院,地球科學系學士班,,,,,,,,分機65406,"c(""須修畢 必修 35 學分，選修 10 學分"", ""修習科目若有實習，亦必須選修相關實習課，方才認定修習該課程"", ""本系未開授之專業選修科目，事前經系主任核可，得於外系或外校選修相同科目"")","c(""地球科學概論(一)"", ""地球科學概論(二)"", ""地球科學概論實習(一)"", ""地球科學概論實習(二)"", ""礦物學"", ""礦物學實習"", ""古生物學"", ""岩石學"", ""岩石學實習"", ""構造地質學"", ""構造地質學實習"", ""地史學"", ""地史學實習"", ""礦床學"", ""地球物理學概論"", ""野外地質學"", ""水文地質學概論"", ""環境地質學"", ""海洋學"", ""天文學"", ""氣象學"", ""板塊地質學"", ""地形學"", ""衛星遙測概論"")
 "
理學院,光電科學與工程學系學士班,,,前一學年學業成績平均達70分以上。,1. 歷年成績單。2. 學生證。,,,,分機63900,"c(""須修畢 必修 22 學分，選修 18 學分"", ""選修課程須由系定專業選修四大領域中任選兩領域，一為主修，一為副 修，主修與副修分別需各選修三門課。"", ""系定專業選修四大領域課程請參閱光電系網站-課程資訊"", ""所列課程若與原系課程重複者則另選修其他課程"")","c(""電磁學(一)"", ""電磁學(二)"", ""光學(一)"", ""光學(二)"", ""光電子學導論(一)"", ""光電子學導論(二)"", ""近代物理"", ""光電專題(一)"")"
工學院,機械工程學系學士班,,,,,,,,分機62159~65,"c(""須修畢 必修 51 學分"", ""專業必修科目學分不足51學分時，得選修其他專業必修科目(詳見機械工程學系課程表)補足"", ""專業必修科目學分不足51學分時，至多不能選修超過3門選修科目且不能超過9學分"")","c(""普通物理學(一)"", ""普通物理學(二)"", ""普通物理學實驗(一)"", ""普通物理學實驗(二)"", ""微積分(一)"", ""微積分(二)"", ""普通化學"", ""普通化學實驗"", ""工程圖學(一)"", ""工程圖學(二)"", ""應用力學(一)"", ""應用力學(二)"", ""工程數學(一)"", ""工程數學(二)"", ""熱力學(一)"", ""熱力學(二)"", ""機動學(一)"", ""機動學(二)"", ""材料力學(一)"", ""機械畫"", ""機械材料"", ""電工學"", ""機械製造"", ""機械工程實驗(一)"", ""機械工程實驗(二)"", ""機械工程實驗(三)"", ""流體力學"", ""機械設計"", ""熱傳學"", ""自動控制"", ""電子學"")"
工學院,化學工程學系學士班,,,,,需修畢普通化學或普通化學(一)，且該科學期成績須達75分以上。,,,分機62605,"c(""須修畢 必修 50 學分"", ""專業必修科目學分不足21學分時，得選修其他專業必修科目(詳見機械工程學系課程表)補足"", ""標示 * 的課程為必修科目"", ""標示 ** 的課程中至少選修一科"", ""若課程語原系所已修得的專業科目學分之課程名稱內容相符者，以成績單、原系所科目課程大綱等佐證資料，經本系該科目授課教師審核後，得以免修，其學分數須選修其他課程補足"", ""針對上一點，微積分(一)(二)、普通物理(一)(二)、普通物理實驗(一)(二)、普通化學(一)(二)、普通化學實驗(一)(二)，可由本系課程委員會召集人審核"", ""修畢所列之專業必修科目學分累計大於 33 學分（含），方得選修本系專業必（選）修科目學分補足""
 )","c(""單元操作(一)*"", ""單元操作(二)*"", ""單元操作(三)*"", ""化工熱力學*"", ""化學反應工程*"", ""有機化學實驗(一)**"", ""有機化學實驗(二)**"", ""物理化學實驗(一)**"", ""物理化學實驗(二)**"", ""化工程序實驗**"", ""單元操作實驗**"", ""微積分(一)"", ""微積分(二)"", ""普通物理學(一)"", ""普通物理學(二)"", ""普通物理學實驗(一)"", ""普通物理學實驗(二)"", ""普通化學(一)"", ""普通化學(二)"", ""普通化學實驗(一)"", ""普通化學實驗(二)"", ""化工概論"", ""質能均衡"", ""工程數學(一)"", ""工程數學(二)"", ""有機化學(一)"", ""有機化學(二)"", ""物理化學(一)"", ""物理化學(二)"", ""儀器分析與分析化學"", ""儀器分析實驗"", ""程序控制"", ""程序控制實驗"", ""化學工業程序"", ""程序設計"")"
工學院,資源工程學系學士班,,,,須提出自傳和讀書計畫，以供審查小組審查。,,,,分機62801,,
工學院,材料科學及工程學系學士班,,,累計學年總平均78分以上。,,1. 物理（一）（二）各3學分，該科每學期均須及格且學年平均成績75分以上。2. 普通化學（一）（二）各3學分，該科每學期均須及格且學年平均成績75分以上。,,,分機62908,"c(""須修畢 必修 45 學分"", ""課程若與原系必修科目重複或所列專業必修學分不足45學分時，得選修本系專業選修科目補足雙主修學分"")","c(""材料科學導論"", ""材料工程力學"", ""工程數學(一)"", ""材料熱力學(一)"", ""結晶學與繞射概論"", ""量子物理導論"", ""材料實驗(一)"", ""工程數學(二)"", ""材料熱力學(二)"", ""晶體結構與缺陷"", ""有機化學導論"", ""材料實驗(二)"", ""相變態導論"", ""材料分析"", ""材料實驗(三)"", ""材料機械性質"")"
工學院,土木工程學系學士班,,,,,,,,分機63105,"c(""須修畢 必修 54 學分"", ""專業必修科目學分不足五十四學分時得選修下列專業選修科目補足"")","c(""微積分(一)"", ""微積分(二)"", ""普通物理學(一)"", ""普通物理學(二)"", ""普通物理學實驗(一)"", ""普通物理學實驗(二)"", ""普通化學"", ""普通化學實驗"", ""計算機概論"", ""工程圖學(一)"", ""工程圖學(二)"", ""測量學"", ""測量學實習"", ""應用力學"", ""土木工程設計實務(甲)"", ""土木工程設計實務(乙)"", ""土木工程設計實務(丙)"", ""土木工程設計實務(丁)"", ""工程材料學"", ""工程材料學實驗"", ""動力學"", ""工程數學(一)"", ""工程數學(二)"", ""材料力學(一)"", ""流體力學"", ""土壤力學"", ""土壤力學實驗"", ""鋼筋混凝土學"", ""運輸工程學"", ""結構學(一)"", ""工程地質學"", ""工程計畫管理"", ""結構學(二)"", ""材料力學(二)"", ""基礎工程學"", ""計算機應用"", ""水文學"",  ""環境工程學"", ""公路工程學"", ""混凝土配合設計"", ""數值分析"", ""隧道工程學"", ""岩石力學"", ""鋼結構"", ""振動力學"", ""邊坡穩定與土工結構物"", ""瀝青材料實驗"", ""結構材料"", ""高等材料力學"", ""預力混凝土學"", ""鋼結構設計"", ""公路工程實務"", ""大地工程特論"", ""工程經濟"")"
工學院,水利及海洋工程學系學士班,,,,,,,,分機63205,,
工學院,工程科學系學士班,,,,,,,,分機63340,"c(""須修畢 必修 40 學分"", ""工程科學暨創新概論為必選課程"")","c(""工程力學"", ""工程圖學與模擬"", ""材料力學(一)"", ""程式設計"", ""工程動力學"", ""工程科學暨創新概論"", ""工程數學(一)"", ""電路學"", ""熱力學"", ""材料科學"", ""資料結構"", ""工程數學(二)"", ""電子學"", ""邏輯設計"", ""電子學實驗"", ""自動控制"", ""流體力學"", ""計算機組織與組合語言"", ""數值方法"", ""熱傳學"", ""近代物理"")"
工學院,能源工程國際學士學位學程學士班,,,前一學年學業成績平均達75分以上。,,,,,分機63637,"c(""須修畢 必修科目 22 學分，以及本學程所開授之必修或選修科目 18 學分"", ""標示 * 為任選必修科目，任選 12 學分"")","c(""能源科技概論"", ""能源實驗(一)"", ""能源實驗(二)"", ""能源工程實作(一)"", ""能源工程實作(二)"", ""熱力學*"", ""熱機學*"", ""流體力學*"", ""材料力學*"", ""工程材料科學*"", ""自動控制*"", ""熱傳學*"", ""儀器量測與訊號處理*"", ""生質能源*"", ""燃料電池*"", ""風力發電*"", ""燃燒學*"", ""太陽光電*"", ""太陽熱能*"")"
工學院,系統及船舶機電工程學系學士班,,,,,,,,分機63534轉200,"c(""須修畢 專業必修 12 學分，專業選修及分組專業選修任選 39 學分"", ""標示 * 為專業必修課程"", ""標示 ** 為專業選修課程"", ""標示 ' 為分組專業選修中「船舶系統組」"", ""標示 \"" 為分組專業選修中「機電系統組」"")","c(""船舶與機電設計實務(一)*"", ""船舶與機電設計實務(二)*"", ""系統工程分析*"", ""系統設計理論*"", ""應用力學(一)**"", ""應用力學(二)**"", ""熱力學(一)**"", ""電路學**"", ""電子學(一)**"", ""流體力學(一)**"", ""材料力學**"", ""自動控制**"", ""船舶結構學'"", ""船舶靜力學'"", ""造機設計原理'"", ""船舶輔機'"", ""船舶阻力與推進'"", ""船舶實驗設計原理'"", ""船舶耐海與操控'"", ""遊艇設計'"", ""舟艇設計'"", ""電腦輔助設計與製造'"", ""電磁學\"""", ""電力系統\"""", ""工程量測與虛擬儀表設計\"""", ""微電腦控制\"""", ""電機機械\"""", ""機電系統整合\"""", ""線性系統分析\"""",  ""微機電系統概論\"""", ""資訊與通訊概論\"""", ""電子學(二)\"""", ""電腦輔助設計與製造\"""", ""數位影像處理\"""")"
工學院,航空太空工程學系學士班,,,前一學年學業成績平均達75分以上。,,,,,分機63637,"c(""須修畢 必修科目 20 學分(下列課程)，以及本系所開授之必修或選修任選 20 學分"", ""標示 * 為任選必修科目，任選 8 學分"")","c(""航空發動機"", ""飛具結構學(一)"", ""飛行力學"", ""空氣動力學(一)"", ""航太工程概論*"", ""飛機設計*"", ""靜力學*"", ""動力學*"", ""工程材料科學*"", ""材料力學*"", ""飛機結構學(二)*"", ""控制系統導論*"", ""流體力學*"", ""空氣動力學(二)*"", ""熱力學(一)*"", ""熱力學(二)*"", ""熱傳學*"")"
