學院,科系,招收,年級限制,成績要求,繳交資料,先修課程,測驗,備註,聯絡電話,課程備註,課程名稱
工學院,環境工程學系學士班,,,,,,,,分機65806,"c(""須修畢 必修 21 學分，選修 25 學分"", ""所列課程必修共 41 學分，選足 21 學分，選修（含必選）共 42 學分，選足 25 學分"", ""標示 * 為必選課程"")","c(""流體力學(一)"", ""應用力學"", ""環境微生物學"", ""微生物學實驗"", ""物理化學"", ""材料力學"", ""水文學"", ""流體力學實驗"", ""工程統計學"",""空氣污染工程"",  ""環境分析與實驗(一)"", ""給水工程"", ""固體廢棄物工程"", ""環境管理"", ""環境工程實作"", ""環工物理原理概論*"", ""電子及電工學*"", ""鋼筋混凝土*"", ""生物學*"",""污水工程*"",  ""環境工程設計(一)*"", ""環境化學"", ""結構學"", ""環境經濟學"", ""環境分析與實驗(二)"", ""大氣污染與氣候變遷"", ""環境毒物學"", ""有害廢棄物處理"", ""環境工程設計(二)"")"
工學院,測量及空間資訊學系學士班,,,,,,,,分機63801,"c(""須修畢 必修 41 學分"", ""加修學系專業必修科目學分不足41學分時得選修專業選修科目補足"", ""未修畢雙主修規定學分者，如已達輔系規定標準者，仍可取得輔系畢業資格"")","c(""基礎測量學(一)"", ""基礎測量學實習(一)"", ""基礎測量學(二)"", ""基礎測量學實習(二)"", ""航測及遙測基礎"", ""測量坐標與時間系統"", ""地理資訊基本原理"", ""攝影測量學"", ""遙感探測"", ""地理資訊空間分析與應用"", ""大地測量(一)"", ""大地測量(二)"", ""衛星定位"", ""測量總實習"")"
工學院,生物醫學工程學系學士班,,,,,,,,分機63405-102,"c(""須修畢 必修 40 學分"", ""下列課程共 85 學分，包含 48 學分，選修 37 學分"", ""「醫學工程導論」與 「醫學工程實驗」互為搭配之課程"", ""「解剖學」與 「解剖學實驗」互為搭配之課程"", ""「生理學」與「生理學實驗」互為搭配之課程"", ""「醫學儀表與量測」與「醫學儀表與量測實驗」互為搭配 之課程"", ""若已修畢表列必修相同課程，而致專業必修科目不足 40 學分者，經本系同意，得選修下列專業選修科目學分"",""近幾年「醫學工程導論」和「醫學工程實驗」的課程名稱一直有小幅的更動"")","c(""普通生物學"", ""計算機概論"", ""程式語言"", ""醫學工程導論—醫療器材創新啟蒙（一）"",""醫學工程導論—醫療器材創新啟蒙（二）"", ""醫學工程實驗—醫療器材創新實作（一）"", ""醫學工程實驗—醫療器材創新實作（二）"", ""工程數學(一)"", ""工程數學(二)"", ""解剖學"", ""解剖學實驗"", ""生理學"", ""生理學實驗"", ""電路學"", ""工程力學"", ""材料科學導論"", ""工程圖學"", ""生物統計學"", ""醫學儀表與量測"", ""醫學儀表與量測實驗"", ""醫療器材專利與法規"", ""臨床醫療概論"", ""動力學"", ""材料與力學實驗"", ""材料力學"", ""熱力學"", ""流體力學"", ""有機化學（一）"",""有機化學（二）"", ""生醫材料與力學實驗"", ""電子學與實驗(一)"", ""電子學與實驗(二)"", ""訊號與系統"", ""數位影像處理"", ""嵌入式系統"", ""細胞生物學"")"
管理學院,會計學系學士班,,,本校各院系學生申請時學業總平均達80分以上或總平均成績名次名列該班前25% 者，方得申請。(成績及名次之總平均，自入學起計算至申請當年度1月31日止)。,,,,,分機53434,"c(""須修畢 78 學分"",""原系科目如與本系科目相同者，可不必重修，但需選修本系其 他科目補足規定之學分數。 例：經濟系學生雙主修會計系，其中經濟學(一)(二)為經濟系必修 科目，該生必須另選會計系專業選修 6 學分課程(非上述表列科 目)以補足學分數。"",""凡本系每學期所開設專業選修科目皆可承認，含他系主開與會 計系合班課程。 例：交管系國際貿易等。(以本系實際開課課表為準)"",""申請時間：每學年7月10日至7月20日，遇假順延。申請結果當年8月底公告"")","c(""初級會計學(一)"", ""初級會計學(二)"", ""經濟學(一)"", ""經濟學(二 )"", ""中級會計學(一)"", ""中級會計學(二)"", ""中級會計學(三)"", ""統計學(一)"", ""統計學(二)"", ""成本會計學(一)"", ""成本會計學(二)"",  ""微積分(一)"", ""微積分(二)"", ""高級會計學(一)"", ""高級會計學(二)"", ""民法概要"", ""審計學(一)"", ""審計學(二)"",  ""管理學"", ""財務報表分析"", ""基本財務學"", ""企業資源規劃與資料探勘"", ""衍生性金融商品導論"", ""公司法及商業會計法"", ""所得稅法"")"
管理學院,統計學系學士班,,凡本校他系大學部學生修畢第一學年課程，得自第二學年開始至第四學年上學期止，申請本系為雙主修。,,申請表及成績單(需含上一學期成績)送達系辦助教辦理。,,,,分機53633,"c(""須修畢 本系所定科目 40 學分以上，且包括全部專業必修科目學分"", ""除須修完統計學(一)(二)外，尚須依序修畢下列指定之專業必 修科目。如原系已修畢統計學6學分者，本科不算為雙主修學分"", ""如原系修畢之科目學 分數與本系不符者，不足之學分，應補本系下學期科目學分為原則。"", ""若修完所列科目，學分仍不足40學分時，由系主任決定應修課程"", ""統計諮詢、統計資料分析 二選一"")","c(""線性代數"", ""機率概論"", ""迴歸分析"", ""數理統計(一)"", ""數理統計(二)"", ""抽樣調查"", ""實驗設計"", ""無母數統計"", ""類別資料分析"", ""多變量分析"", ""統計諮詢"", ""統計資料分析"", ""品質管制"", ""時間數列分析"")"
管理學院,工業與資訊管理學系學士班,,,,,須修得微積分（一）（二）6學分，申請時學業總平均成績達80分以上者，方得申請。,,,分機53105,"c(""須修畢 必修 60 學分"", ""原系科目與本系雙主修科目相同或雷同者，不得修第二次，必須以在本 系所開的專業選修科目抵免（經系主任同意）"", ""品質管理需先修統計學(一)(二)"")","c(""經濟學(一)"", ""經濟學(二)"", ""微積分(一)"", ""微積分(二)"", ""統計學(一)"", ""統計學(二)"", ""會計學"", ""計算機概論"", ""工業管理概論"", ""資訊管理概論"", ""管理學"", ""計算機程式及應用"", ""系統分析與設計"", ""作業研究(一)"",""作業研究(二)"", ""品質管理"", ""組織行為"", ""行銷管理"", ""生產與作業管理"", ""資料庫管理"", ""資料結構"")"
管理學院,企業管理學系學士班,不招收雙主修,,,,,,,分機53305,,
管理學院,交通管理科學系學士班,,,,由本系審核： (1)申請表(學校註冊組首頁/申請表單下載)。(2)成績單。(3)自傳(含個人簡歷、對交通管理之認識、曾參與之研究計畫、獎勵、生活紀要、社團活動等)。 (4)其他有助於審查之相關資料(如語言能力檢定證明、推薦函等)。,修過微積分(一)、(二)共6學分或經濟學(一)、(二)共6學分且及格。,,,分機53237,"c(""須修畢 40 學分"", ""標示 * 為必選課程"", ""標示 ** 為 至少三選一的必修課程"", ""須完成本系 其中一個領域中，3 門，共計 9 學分的選修課程。共有四個領域：A: 旅客運輸。B: 物流管理。C: 運輸科技。D: 電信管理。"")","c(""經濟學(一)"", ""經濟學(二)"", ""統計學(一)"", ""統計學(二)"", ""管理數學"", ""作業研究(一)"",""作業研究(二)"", ""微積分(一)"", ""微積分(二)"", ""管理學"", ""會計學(一)"", ""會計學(二)"", ""公共運輸*"", ""運輸經濟*"", ""運輸管理*"", ""運輸規劃*"", ""交通工程**"", ""運輸工程**"", ""運輸安全**"", ""軌道運輸A"", ""航空運輸A"", ""運輸風險與危機管理A"", ""國際貿易B"", ""供應鏈管理B"", ""倉儲與存貨管理B"", ""智慧型運輸系統C"", ""交通流理論C"", ""交通管理與控制C"", ""通訊網路D"", ""電信經營與管理D"", ""服務業行銷D"")"
醫學院,護理學系學士班,不招收雙主修,,,,,,,06-2353535轉5034,,
醫學院,醫學檢驗生物技術學系學士班,不招收雙主修,,,,,,,06-2353535轉5781,,
醫學院,醫學系學士班,不招收雙主修,,,,,,,06-2353535轉5011,,
醫學院,物理治療學系學士班,不招收雙主修,,,,,,,06-2353535轉5028,,
醫學院,職能治療學系學士班,不招收雙主修,,,,,,,06-2353535轉5026,,
醫學院,藥學系學士班,不招收雙主修,,,,,,,06-2353535轉6800,,
醫學院,牙醫學系學士班,不招收雙主修,,,,,,,06-2353535轉5815,,
社會科學院,法律學系學士班,,,其前一學年每學期學業成績平均達80分以上或總名次在該班學生人數前10%以內者為限。總名次計算至前一學年度第一學期為止。,,,,,分機56100,"c(""須修畢 50 學分"")","c(""憲法"", ""行政法"", ""民法總則"", ""民法債編總論"" , ""民法債編各論"", ""民法物權編"", ""民事訴訟法"", ""刑法總則"", ""刑法分則"", ""刑事訴訟法"",  ""民法親屬編與繼承編"", ""公司法"", ""海商法"", ""票據法"", ""保險法"", ""綜合法學實例演練"")"
社會科學院,政治學系學士班,,,學生前一學年每學期平均成績須達75分以上。,,,,,分機50255,"c(""須修畢 必修51 學分"", ""以上課程若於外系或外校修習通過而獲本系系主任同意者得予抵免，但至多不得逾15學分。科目名稱相同但學分數不足者，得經系主任同意後，修習本系選修課程抵充之"")","c(""政治學概論（一）"", ""政治學概論（二）"", ""社會學概論"", ""法學緒論"", ""經濟學原理（一）"", ""經濟學原理（二）"", ""中華民國憲法與政府"", ""政治經濟學"", ""政治學方法論（一）"", ""政治學方法論（二）"", ""政治哲學概論"", ""兩岸關係"", ""應用統計"" , ""比較政治與政府"", ""行政學"", ""國際關係"", ""公共政策"")"
社會科學院,經濟學系學士班,,,前一學期成績排序需達全班名列前1/3。,,須先選修「經濟學原理」6學分，且該科成績學年平均80分以上。,,,分機56300,"c(""須修畢 必修 42 學分，選修 6 學分"", ""標示 * 為 「經濟分析工具領域」，任選一科，下表所列僅為部分課程，全部課程依當學年排定課程而定"", ""標示 ** 為 「應用經濟領域」，任選一科，下表所列僅為部分課程，全部課程依當學年排定課程而定"", ""以上課程若已修畢外系所開而獲本系系主任同意免再修習者，仍應選讀「加修科目」補足48學分。「加修科目」之選擇範圍為本系系定選修課程（經濟分析工具及應用經濟領域）。惟統計學、微積分可開放至外系選修。"")","c(""經濟學原理(一)"", ""經濟學原理(二)"", ""統計學(一)"", ""統計學(二)"", ""微積分(一)"", ""微積分(二)"", ""個體經濟學(一)"", ""個體經濟學(二)"", ""總體經濟學(一)"", ""總體經濟學(二)"", ""公共財政學"", ""貨幣銀行學"", ""國際金融"", ""國際貿易"", ""計量經濟學(一)*"", ""計量經濟學(二)*"", ""經濟成長*"", ""財務計算與數據分析*"", ""經濟發展與幸福經濟*"", ""數理經濟學*"", ""經濟數學*"", ""數理統計學*"", ""社會科學程式設計*"", ""賽局與經濟*"", ""計算經濟學*"", ""經濟發展*"", ""天然災害經濟分析*"", ""高齡經濟分析**"", ""資源與環境經濟學**"", ""財務經濟學**"", ""法律經濟學**"", ""健康經濟學**"", ""西洋經濟史**"", ""都市經濟學**"", ""總體經濟分析與政策**"", ""神經經濟學**"", ""勞動經濟學**"")"
社會科學院,心理學系學士班,,,其前一學年每學期學業成績平均達80分以上或前一學期成績名次在該班學生人數前10%以內者為限。,,,,,分機56500,"c(""須修畢本系之所有必修 共 41 學分"", ""心理測驗需先修統計(一)和統計(二)"", ""認知心理學需先修心概(一)和心概(二)"")","c(""心理學概論（一）"", ""心理與教育統計學（一）"", ""心理學概論（二）"", ""心理與教育統計學（二）"", ""心理實驗法（一）"", ""心理測驗"", ""性格心理學"", ""心理實驗法（二）"", ""發展心理學"", ""認知心理學"", ""生理心理學"", ""生理心理學實驗"", ""感覺與知覺"", ""社會心理學"")"
電機資訊學院,電機工程學系學士班,,,前一學期分數達83分（含）以上，或成績名次在該班學生人數20%以內。,歷年成績單、選課申請表(請至本系網頁自行下載)，須繳交至本系學士班承辦人處。,,,,分機62313,"c(""須修畢必修至少 51 學分，且不得改選其它必選或選修科目代替。"", ""若原學系必修課程與表列課程名稱相同，以致加修科目不足51學分時，學生得改選【E2電機系/N2電機所/Q1微電子所/Q3電通所/Q7奈米學程】之其它課程補足51學分。例1. 機械系-計算機概論、電機系-計算機概論(一)：名稱不同。例2. 統計系-微積分(一)、電機系-微積分(一)：名稱相同"")","c(""微積分(一)"", ""微積分(二)"", ""計算機概論(一)"", ""計算機概論(二)"", ""線性代數"", ""工程數學(一)"", ""工程數學(二)"", ""電路學(一)"", ""電路學(二)"", ""電子學(一)"", ""電子學(二)"", ""電子學(三)"", ""電工實驗"", ""電機概論實驗"", ""控制工程實驗"", ""普通物理學(一)"", ""普通物理學(二)"", ""普通物理學實驗(一)"", ""普通物理學實驗(二)"", ""電機概論"", ""電儀表學"", ""控制工程"", ""電子電路實驗(一)"", ""電子電路實驗(二)"", ""電磁學(一)"", ""電磁學(二)"", ""邏輯系統實驗"", ""電儀表學實驗"", ""通訊實驗"")"
電機資訊學院,資訊工程學系學士班,,,前一學期平均分數達75分以上(含)且成績名次在該班學人數40%以內，由本系成立評審委員會審查。先修課程：必須完成先修課程：微積分（一）（二）、計算機概論，方能提出申請。,系申請書(請至本系網頁下載)、校申請書、歷年成績單、學生證影印本。申請書先請原系主任簽核後併同其他資料送至資訊系系辦公室。,必須完成微積分（一）（二）、計算機概論，方能提出申請。,,,分機62500-11,"c(""須修畢 先修課程 6 學分、必修至少 28 學分和選修課程"", ""微積分為先修課程"", ""選修課程：本系開設之大學部選修科目至多承認12學分"", ""標示 * 課程中至少選修24學分"")","c(""微積分(一)"", ""微積分(二)"", ""資訊專題(一)"", ""資訊專題(二)"", ""程式設計（一）*"", ""程式設計（二）*"", ""數位電路導論*"", ""計算機組織*"", ""資料結構*"", ""數位系統導論*"", ""數位系統實驗*"", ""離散數學*"", ""作業系統*"", ""微算機原理與應用（含實驗）*"", ""演算法*"", ""編譯系統*"")"
規劃與設計學院,建築學系學士班,不招收雙主修,,,,,,,分機54147,,
規劃與設計學院,都巿計劃學系學士班,,,,審查資料包括： (1)在校歷年成績單(須包含至申請期限時各學期完整成績)； (2)自傳；(3)讀書計畫(含申請動機)；(4)其他有利審查之資料(如：作品集...等)。收件處為本系助教室。,,,,分機54237,"c(""**在這裡選修課程為所列課表中需要選修（任選幾科）的課程** 例：微積分或統計學納入選修學分數"", ""微積分與統計學 任選一科"", ""標示 * 的課程共有八科，任選四科，共計 8~10 學分"")","c(""基本設計（二）"", ""都市規劃與設計實習（一）"", ""都市計劃概論"", ""經濟學"", ""都市規劃與設計實習（二）"", ""都市規劃與設計實習（三）"", ""規劃分析方法"", ""都市經濟學"", ""都市交通計劃"", ""都市土地使用計劃"", ""都市規劃與設計實習（四）"", ""都市設計"", ""都市及區域計劃法規"", ""微積分"", ""統計學"", ""設計概論*"", ""都市社會學*"", ""都市工程學*"", ""區域計劃概論*"", ""都市財政學*"", ""地理資訊系統概論*"", ""圖學*"", ""都市規劃與設計實習（五）*"")"
規劃與設計學院,工業設計學系學士班,,,本地生：學業成績名次列該班前1/5者。僑生：學業成績名次列該班前1/2者。,,曾修物理一學期及微積分一學期成績及格者。,性向檢定（含素描及空間概念）合格。(受理報名預定每年四月下旬，測驗日期預定五月中旬)。並於性向檢定前提出方可報名。,,06-2757575轉54343,,
生物科學與科技學院,生命科學系學士班,,二年級（含）以上。,前學期學業成績平均達75分。,,,,,分機58121,"c(""須修畢 必修 33 學分，選修學分數 7 學分"", ""植物生理學與動物生理學 二選一"", ""書報討論(一)(二) 二選一"", ""本系專業選修至少 7 學分，課程列於資料中"")","c(""普通生物學(一)"", ""普通生物學實驗(一)"", ""普通生物學(二)"", ""普通生物學實驗(二)"", ""生物化學(一)"", ""生物化學實驗(一)"", ""遺傳學"", ""遺傳學實驗"", ""生態學"", ""生物統計學"", ""植物生理學"", ""動物生理學"", ""書報討論(一)"", ""書報討論(二)"", ""生物化學(二)"", ""細胞生物學"", ""酵素學"", ""營養學"", ""分子生物學"", ""免疫學"", ""植物細胞與組織培養"", ""生物資訊學導論"", ""動物生理學實驗"", ""分子細胞學"", ""蛋白質化學"", ""演化生物學"", ""生態學實驗"", ""比較解剖學"", ""動物組織學"", ""植物型態與解剖學"", ""功能性生物資料分析"", ""染色體學"", ""環境政策"",  ""生物資料庫簡介與實作"", ""生命科學與諾貝爾獎"", ""基因體與生物技術理論與實作"", ""神經生物學"", ""生態模型導論"", ""哺乳動物學"", ""鳥類學"", ""蘭花生物科技學"", ""全球變遷生物學"", ""生命科學討論(一)"", ""生命科學討論(二)"", ""實習課程"", ""實驗室實習(一)"", ""實驗室實習(二)"", ""生命科學專題研究(一)"", ""生命科學專題研究(二)"", ""論文(一)"", ""論文(二)"")"
生物科學與科技學院,生物科技與產業科學系學士班,,二年級（含）以上。,前一學年之平均GPA需達3或名次在該班學生人數前20%以內。,申請表及歷年成績單。,,,,分機58202,"c(""須修畢 必修 40 學分"", ""申請者於主系修過之科目與本系必修科目性質相同或類似者，經本系課程委員會同意得免 修，但不列為雙主修學分數"", ""必修課程若不足 40 學分，需另修習本系選修課程以達到 40 學 分之要求"")",